sample,raw_cm,cal_cm
0,31.960,31.940
1,32.079,32.059
2,32.079,32.059
3,32.079,32.059
4,32.079,32.059
5,32.198,32.178
6,32.079,32.059
7,32.079,32.059
8,31.671,31.651
9,32.079,32.059
10,32.181,32.161
11,32.062,32.042
12,32.079,32.059
13,32.062,32.042
14,32.079,32.059
15,32.079,32.059
16,32.079,32.059
17,32.181,32.161
18,31.654,31.634
19,32.079,32.059
20,31.671,31.651
21,32.079,32.059
22,32.079,32.059
23,32.079,32.059
24,32.181,32.161
25,32.079,32.059
26,32.079,32.059
27,32.079,32.059
28,32.079,32.059
29,32.079,32.059
30,32.079,32.059
31,32.181,32.161
32,32.487,32.467
33,32.079,32.059
34,32.079,32.059
35,32.079,32.059
36,32.079,32.059
37,32.079,32.059
38,31.756,31.736
39,31.671,31.651
40,32.079,32.059
41,32.079,32.059
42,32.079,32.059
43,32.079,32.059
44,32.079,32.059
45,31.756,31.736
46,31.654,31.634
47,31.654,31.634
48,32.096,32.076
49,31.654,31.634
50,31.671,31.651
51,32.062,32.042
52,32.181,32.161
53,32.096,32.076
54,31.671,31.651
55,31.671,31.651
56,32.096,32.076
57,31.654,31.634
58,31.654,31.634
59,32.181,32.161
60,31.654,31.634
61,32.096,32.076
62,31.654,31.634
63,32.079,32.059
64,31.671,31.651
65,31.671,31.651
66,31.773,31.753
67,31.671,31.651
68,32.079,32.059
69,32.504,32.484
70,32.487,32.467
71,32.487,32.467
72,32.487,32.467
73,32.487,32.467
74,32.487,32.467
75,32.589,32.569
76,31.654,31.634
77,32.504,32.484
78,32.504,32.484
79,32.079,32.059
80,32.079,32.059
81,32.079,32.059
82,31.756,31.736
83,32.079,32.059
84,31.773,31.753
85,32.079,32.059
86,32.079,32.059
87,32.079,32.059
88,32.079,32.059
89,32.181,32.161
90,31.671,31.651
91,32.113,32.093
92,32.079,32.059
93,32.079,32.059
94,32.079,32.059
95,32.079,32.059
96,32.181,32.161
97,32.079,32.059
98,32.181,32.161
99,32.079,32.059
