sample,raw_cm,cal_cm
0,6.188,6.168
1,6.545,6.525
2,6.086,6.066
3,6.494,6.474
4,6.613,6.593
5,6.613,6.593
6,6.613,6.593
7,6.188,6.168
8,6.086,6.066
9,6.188,6.168
10,6.188,6.168
11,6.188,6.168
12,6.188,6.168
13,6.188,6.168
14,6.086,6.066
15,6.086,6.066
16,6.188,6.168
17,6.188,6.168
18,6.188,6.168
19,6.188,6.168
20,6.188,6.168
21,6.086,6.066
22,6.494,6.474
23,6.188,6.168
24,6.188,6.168
25,6.188,6.168
26,6.188,6.168
27,6.188,6.168
28,6.511,6.491
29,6.086,6.066
30,6.205,6.185
31,6.596,6.576
32,6.613,6.593
33,6.188,6.168
34,6.205,6.185
35,6.086,6.066
36,6.086,6.066
37,6.188,6.168
38,6.188,6.168
39,6.188,6.168
40,6.188,6.168
41,6.188,6.168
42,6.086,6.066
43,6.086,6.066
44,6.188,6.168
45,6.596,6.576
46,6.613,6.593
47,6.188,6.168
48,6.188,6.168
49,6.511,6.491
50,6.086,6.066
51,6.086,6.066
52,6.188,6.168
53,6.188,6.168
54,6.188,6.168
55,6.188,6.168
56,6.086,6.066
57,6.086,6.066
58,6.086,6.066
59,6.188,6.168
60,6.188,6.168
61,6.188,6.168
62,6.188,6.168
63,6.086,6.066
64,6.086,6.066
65,6.086,6.066
66,6.188,6.168
67,6.188,6.168
68,6.188,6.168
69,6.188,6.168
70,6.086,6.066
71,6.086,6.066
72,6.528,6.508
73,6.188,6.168
74,6.188,6.168
75,6.188,6.168
76,6.188,6.168
77,6.086,6.066
78,6.086,6.066
79,6.494,6.474
80,6.188,6.168
81,6.205,6.185
82,6.188,6.168
83,6.188,6.168
84,6.086,6.066
85,6.086,6.066
86,6.188,6.168
87,6.188,6.168
88,6.188,6.168
89,6.188,6.168
90,6.188,6.168
91,6.086,6.066
92,6.086,6.066
93,6.188,6.168
94,6.188,6.168
95,6.188,6.168
96,6.188,6.168
97,6.188,6.168
98,6.511,6.491
99,6.086,6.066
