sample,raw_cm,cal_cm
0,31.501,31.481
1,31.603,31.583
2,31.603,31.583
3,31.603,31.583
4,31.603,31.583
5,31.705,31.685
6,31.603,31.583
7,31.603,31.583
8,31.705,31.685
9,31.603,31.583
10,31.586,31.566
11,31.603,31.583
12,31.603,31.583
13,31.705,31.685
14,31.603,31.583
15,31.603,31.583
16,31.603,31.583
17,31.620,31.600
18,31.603,31.583
19,31.620,31.600
20,31.603,31.583
21,31.603,31.583
22,31.603,31.583
23,31.603,31.583
24,31.603,31.583
25,31.722,31.702
26,31.603,31.583
27,31.603,31.583
28,31.603,31.583
29,31.603,31.583
30,31.705,31.685
31,31.603,31.583
32,31.603,31.583
33,31.603,31.583
34,31.603,31.583
35,31.603,31.583
36,31.603,31.583
37,31.705,31.685
38,31.603,31.583
39,31.603,31.583
40,31.603,31.583
41,31.603,31.583
42,31.705,31.685
43,31.620,31.600
44,31.603,31.583
45,31.603,31.583
46,31.603,31.583
47,31.705,31.685
48,31.603,31.583
49,31.603,31.583
50,31.603,31.583
51,31.586,31.566
52,31.603,31.583
53,31.603,31.583
54,31.705,31.685
55,31.603,31.583
56,31.603,31.583
57,31.620,31.600
58,31.603,31.583
59,31.705,31.685
60,31.603,31.583
61,31.620,31.600
62,31.603,31.583
63,31.603,31.583
64,31.705,31.685
65,31.603,31.583
66,31.603,31.583
67,31.603,31.583
68,31.603,31.583
69,32.028,32.008
70,31.603,31.583
71,31.705,31.685
72,31.603,31.583
73,31.603,31.583
74,31.603,31.583
75,31.603,31.583
76,31.705,31.685
77,32.028,32.008
78,31.603,31.583
79,31.603,31.583
80,31.603,31.583
81,31.688,31.668
82,31.603,31.583
83,31.705,31.685
84,31.603,31.583
85,31.603,31.583
86,31.620,31.600
87,31.603,31.583
88,31.705,31.685
89,31.603,31.583
90,31.603,31.583
91,31.603,31.583
92,31.603,31.583
93,31.705,31.685
94,31.603,31.583
95,31.603,31.583
96,31.603,31.583
97,31.603,31.583
98,31.603,31.583
99,31.603,31.583
