sample,raw_cm,cal_cm
0,29.274,29.254
1,29.308,29.288
2,29.716,29.696
3,29.716,29.696
4,29.835,29.815
5,29.733,29.713
6,29.716,29.696
7,29.716,29.696
8,29.410,29.390
9,29.716,29.696
10,29.308,29.288
11,29.410,29.390
12,29.784,29.764
13,29.784,29.764
14,29.784,29.764
15,29.886,29.866
16,29.716,29.696
17,29.733,29.713
18,29.818,29.798
19,29.716,29.696
20,29.733,29.713
21,29.835,29.815
22,29.716,29.696
23,30.192,30.172
24,29.818,29.798
25,29.308,29.288
26,29.308,29.288
27,29.716,29.696
28,29.359,29.339
29,29.240,29.220
30,29.240,29.220
31,29.342,29.322
32,29.240,29.220
33,29.257,29.237
34,29.240,29.220
35,29.359,29.339
36,29.240,29.220
37,29.240,29.220
38,29.342,29.322
39,29.257,29.237
40,29.257,29.237
41,29.257,29.237
42,29.359,29.339
43,29.257,29.237
44,29.240,29.220
45,29.359,29.339
46,29.257,29.237
47,29.240,29.220
48,29.240,29.220
49,29.342,29.322
50,29.308,29.288
51,29.308,29.288
52,29.733,29.713
53,29.393,29.373
54,29.308,29.288
55,29.308,29.288
56,29.818,29.798
57,29.716,29.696
58,29.716,29.696
59,29.818,29.798
60,29.716,29.696
61,29.665,29.645
62,29.716,29.696
63,29.716,29.696
64,29.665,29.645
65,29.733,29.713
66,29.835,29.815
67,29.733,29.713
68,29.716,29.696
69,29.767,29.747
70,29.665,29.645
71,29.716,29.696
72,29.818,29.798
73,29.716,29.696
74,29.716,29.696
75,29.818,29.798
76,29.716,29.696
77,29.733,29.713
78,29.665,29.645
79,29.818,29.798
80,29.716,29.696
81,29.716,29.696
82,29.818,29.798
83,29.665,29.645
84,29.665,29.645
85,29.767,29.747
86,29.665,29.645
87,29.665,29.645
88,29.767,29.747
89,29.665,29.645
90,29.665,29.645
91,29.648,29.628
92,29.818,29.798
93,29.716,29.696
94,29.665,29.645
95,29.818,29.798
96,29.733,29.713
97,29.716,29.696
98,29.818,29.798
99,29.716,29.696
