sample,raw_cm,cal_cm
0,15.266,15.246
1,15.266,15.246
2,15.368,15.348
3,15.266,15.246
4,15.266,15.246
5,15.266,15.246
6,15.266,15.246
7,15.266,15.246
8,15.266,15.246
9,15.368,15.348
10,15.266,15.246
11,15.266,15.246
12,15.266,15.246
13,15.266,15.246
14,15.266,15.246
15,15.266,15.246
16,15.266,15.246
17,15.266,15.246
18,15.266,15.246
19,15.266,15.246
20,15.266,15.246
21,15.266,15.246
22,15.249,15.229
23,15.266,15.246
24,15.300,15.280
25,15.266,15.246
26,15.368,15.348
27,15.266,15.246
28,15.368,15.348
29,15.266,15.246
30,15.266,15.246
31,15.266,15.246
32,15.266,15.246
33,15.266,15.246
34,15.266,15.246
35,15.266,15.246
36,15.266,15.246
37,15.266,15.246
38,15.266,15.246
39,15.249,15.229
40,15.249,15.229
41,15.266,15.246
42,15.266,15.246
43,15.368,15.348
44,15.249,15.229
45,15.368,15.348
46,15.266,15.246
47,15.266,15.246
48,15.266,15.246
49,15.266,15.246
50,15.266,15.246
51,15.266,15.246
52,15.266,15.246
53,15.266,15.246
54,15.266,15.246
55,15.266,15.246
56,15.266,15.246
57,15.266,15.246
58,15.266,15.246
59,15.266,15.246
60,15.266,15.246
61,15.266,15.246
62,15.368,15.348
63,15.266,15.246
64,15.368,15.348
65,15.249,15.229
66,15.249,15.229
67,15.266,15.246
68,15.266,15.246
69,15.249,15.229
70,15.266,15.246
71,15.266,15.246
72,15.249,15.229
73,15.266,15.246
74,15.266,15.246
75,15.266,15.246
76,15.266,15.246
77,15.266,15.246
78,15.266,15.246
79,15.266,15.246
80,15.266,15.246
81,15.368,15.348
82,15.266,15.246
83,15.368,15.348
84,15.266,15.246
85,15.266,15.246
86,15.266,15.246
87,15.266,15.246
88,15.266,15.246
89,15.266,15.246
90,15.266,15.246
91,15.266,15.246
92,15.266,15.246
93,15.266,15.246
94,15.266,15.246
95,15.266,15.246
96,15.266,15.246
97,15.266,15.246
98,15.266,15.246
99,15.266,15.246
